#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
12,Fair,11/12/2024,"Heavy, Moderate",,,"Missing, Poor",Polished,Sound
11,Good,10/09/2024,Moderate,,,"Missing, Poor",Polished,Sound
10,Good,09/11/2024,"Heavy, Moderate",,"Paint diminishing rapidly. Heavy hard growth becoming widespread. Recommend painting ASAP. ","Missing, Poor",Polished,Sound
02,Excellent,01/02/2024,Minimal,,,Excellent,Polished,Sound
04,Good,03/01/2024,Minimal,,,Excellent,Polished,Sound
08,Good,07/03/2024,"Minimal, Moderate",,Several areas of missing paint along the waterline and aft quarter,"Excellent, Missing",Polished,Sound
05,Good,04/03/2024,Minimal,,,Excellent,Polished,Sound
03,Excellent,02/01/2024,Minimal,,,Excellent,Polished,Sound
09,Good,08/02/2024,"Heavy, Minimal",,"Missing paint and heavy growth increasing around waterline, keel, and aft quarter","Fair, Missing",Polished,Sound
01,Excellent,12/03/2023,Minimal,,,Excellent,Polished,Sound
06,Good,05/07/2024,Minimal,,"Possible impact damage to hull below the waterline, starboard forward.",Excellent,Polished,Sound
07,Good,06/06/2024,"Minimal, Moderate",,,Excellent,Polished,Sound
13,Fair,12/10/2024,Moderate,,,"Missing, Poor",Polished,Sound
14,Good,07/15/2025,Minimal,,,Excellent,Polished,Sound
15,Good,09/25/2025,Minimal,,,"Excellent, Good",Good,Sound
16,Good,10/21/2025,"Minimal, Moderate",,,"Excellent, Good",Good,Sound
