#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,"Fair, Good",06/02/2023,"Minimal, Moderate",,"Keel is sound with normal paint wear along bottom and leading edges. ","Excellent, Fair",Good,Sound
02,Good,08/04/2023,Minimal,,,"Excellent, Good","Good, Polished",Sound
03,"Fair, Good",10/01/2023,Moderate,,"Rotated strut  anode from port to starboard. One shaft anode may be ready for replacement on next service. Rapid deterioration of paint on keel, especially on port side. ","Fair, Good",Polished,Sound
04,"Good, Replaced",07/12/2024,"Heavy, Moderate",,Installed 3” rudder zinc on strut,"Fair, Poor",Good,Sound
05,Good,08/09/2024,Moderate,,Both sides of strut anode are in place,Fair,Good,Sound
06,"Fair, Good",09/13/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
07,"Fair, Good",10/21/2024,Moderate,,,"Fair, Missing",Good,Sound
08,"Fair, Good",11/25/2024,Moderate,,,"Fair, Missing",Good,Sound
09,Fair,12/12/2024,Moderate,,,"Fair, Missing",Good,Sound
10,"Fair, Missing",01/23/2025,Moderate,,Will return with strut anode,"Fair, Missing",Good,Sound
11,"Fair, Replaced",02/20/2025,Moderate,,,"Fair, Missing",Good,Sound
12,Fair,03/25/2025,Moderate,,,"Fair, Missing",Good,Sound
13,"Fair, Good",05/20/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
13,"Fair, Good",04/17/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
14,"Fair, Good",06/23/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
15,"Fair, Good",07/16/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
16,Fair,08/13/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
17,Replaced,09/19/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
18,"Excellent, Good",10/23/2025,"Heavy, Moderate",,,"Fair, Missing",Good,Sound
