#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
03,None,03/03/2023,Minimal,There appear to be more nicks in the paint forward of the keel.,Excellent,None,Sound
05,None,05/05/2023,Minimal,,Excellent,None,Sound
02,None,02/03/2023,Minimal,"Damage to forward lower keel, port side. Slight gouging on rudder",Excellent,None,Sound
06,None,06/02/2023,Minimal,Unable to clean starboard waterline at midship due to wires in the water and vessel proximity to the dock.,Excellent,None,Sound
04,None,04/07/2023,Minimal,,Excellent,None,Sound
01,None,01/06/2023,Minimal,"Damage to forward lower keel, port side. Slight gouging on rudder",Excellent,None,Sound
07,None,07/06/2023,Minimal,,Excellent,None,Sound
08,None,08/04/2023,Minimal,,Excellent,None,Sound
09,None,09/08/2023,Minimal,Algae becoming more tenacious near waterline and port bow areas,"Excellent, Good",None,Sound
10,None,10/06/2023,"Minimal, Moderate",,"Excellent, Good",None,Sound
11,None,11/03/2023,"Minimal, Moderate",,"Excellent, Good",None,Sound
12,None,12/01/2023,"Minimal, Moderate",,"Excellent, Fair",None,Sound
13,None,01/07/2024,"Minimal, Moderate","Rudder was fouled on under dock wires. ","Excellent, Fair",None,Sound
14,None,02/06/2024,"Minimal, Moderate",Small crack appearing on forward upper rudder,Good,None,Sound
15,None,03/08/2024,"Minimal, Moderate",,Good,None,Sound
16,None,04/06/2024,"Minimal, Moderate",,Fair,None,Sound
17,None,06/07/2024,Minimal,,Excellent,None,Sound
18,None,07/12/2024,Minimal,,Excellent,None,Sound
19,None,08/09/2024,Minimal,,Excellent,None,Sound
20,None,09/13/2024,Minimal,,Excellent,None,Sound
21,None,10/10/2024,Minimal,,Excellent,None,Sound
22,None,11/13/2024,Minimal,,Excellent,None,Sound
23,None,12/12/2024,Minimal,,Excellent,None,Sound
24,None,01/16/2025,Minimal,,Excellent,None,Sound
25,None,02/20/2025,Minimal,,Excellent,None,Sound
26,None,03/24/2025,"Minimal, Moderate","Port waterline has mostly lost anti-fouling effectiveness. ",Excellent,None,Sound
27,None,04/17/2025,"Minimal, Moderate",,"Excellent, Good",None,Sound
28,None,05/14/2025,Minimal,,"Excellent, Good",None,Sound
29,None,06/19/2025,Minimal,,"Excellent, Good",None,Sound
30,None,08/13/2025,Minimal,,"Excellent, Good",None,Sound
31,None,09/18/2025,Minimal,,"Excellent, Good",None,Sound
32,None,10/15/2025,Minimal,,Excellent,None,Sound
