#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
07,None,07/02/2023,"Heavy, Moderate",,,Poor,None,Sound
06,None,06/01/2023,"Heavy, Moderate",,"Widespread small barnacles. Camera battery died unexpectedly and I was unable to shoot the “after” video this time, my apologies, John.",Poor,None,Sound
01,None,01/05/2023,Moderate,,Heavy three-dimensional and hard-shelled animal growth was removed. Paint is at end of its useful life and is missing in large sections. Heavy slime attached to gel coat at waterline.,Poor,None,Sound
03,None,03/03/2023,Moderate,,,Poor,None,Sound
05,None,05/01/2023,Moderate,,More barnacles beginning,Poor,None,Sound
11,None,11/02/2023,Heavy,,"Many blisters have opened with marine growth taking root inside. Repair and repainting advised ASAP. ","Missing, Poor",None,Sound
14,None,02/08/2024,Moderate,,,"Missing, Poor",None,Sound
08,None,08/02/2023,"Heavy, Moderate",,,Poor,None,Sound
02,None,02/03/2023,Heavy,,,Poor,None,Sound
10,None,10/01/2023,"Heavy, Moderate",,,Poor,None,Sound
04,None,04/08/2023,Moderate,,"Widespread small blistering was observed on the hull, keel, and rudder",Poor,None,Sound
17,None,05/07/2024,Moderate,,,"Missing, Poor",None,Sound
13,None,01/09/2024,Minimal,,,"Missing, Poor",None,Sound
09,None,09/06/2023,"Heavy, Moderate",,,Poor,None,Sound
12,None,12/03/2023,Moderate,,Ditto from last service,"Missing, Poor",None,Sound
16,None,04/05/2024,Moderate,,,"Missing, Poor",None,Sound
18,None,06/13/2024,Moderate,,,"Missing, Poor",None,Sound
19,None,07/12/2024,Moderate,,,"Missing, Poor",None,Sound
15,None,03/04/2024,Moderate,,,"Missing, Poor",None,Sound
20,None,08/14/2024,Moderate,,,"Missing, Poor",None,Sound
21,None,09/14/2024,Moderate,,,"Missing, Poor",None,Sound
22,None,10/14/2024,Moderate,,,"Missing, Poor",None,Sound
23,None,11/12/2024,Moderate,,,"Missing, Poor",None,Sound
24,None,12/12/2024,Moderate,,,"Missing, Poor",None,Sound
25,None,01/16/2025,Moderate,,,"Missing, Poor",None,Sound
26,None,05/15/2025,Minimal,,,Excellent,None,Sound
27,None,06/19/2025,Minimal,,,Excellent,None,Sound
28,None,07/18/2025,Minimal,,,Excellent,None,Sound
29,None,08/13/2025,Minimal,,,Excellent,None,Sound
30,None,09/18/2025,"Minimal, Moderate",,Heavy growth occurring above the waterline aft of the beam.,Good,None,Sound
31,,10/20/2025,,,,,,
