#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,07/05/2023,,Minimal,Good,,Good,"Call for loose prop. Found prop cone loose, tightened with socket wrench. Prop and saildrive otherwise secure.",
02,11/05/2023,,Moderate,,,,Checked for presenece of propeller. Propeller not present. Twine found wrapped around prop shaft.,
03,11/10/2023,,"Minimal, Moderate",,,,"Safety bolt found broken off inside prop shaft ",
04,03/11/2024,Good,"Minimal, Moderate",Missing,Sound,Good,"Line found wrapped around prop shaft. Anode absent. Light damage to lower keel: lead is compressed on forward lower port corner. See video for details. No obstructions detected in thru-hulls. ",
05,03/21/2024,,Minimal,Replaced,,Good,Installed 22651246 Volvo Penta 130/150 Saildrive Split Ring Zinc Anode,
06,06/04/2024,"Fair, Poor","Heavy, Moderate",Excellent,Sound,Good,,
07,08/05/2024,"Fair, Poor","Heavy, Moderate",Excellent,Sound,Good,,
08,10/08/2024,"Fair, Poor",Moderate,Excellent,Sound,Polished,,
09,12/12/2024,"Fair, Poor",Moderate,Missing,Sound,Good,,
10,03/24/2025,Excellent,Minimal,Missing,Sound,Good,"Prop shows some chipping. Anode missing. Will acquire and return. ",
11,06/23/2025,Excellent,Minimal,Replaced,Sound,Good,Installed 22651246 Volvo Penta 130/150 Saildrive Split Ring Zinc Anode,
12,08/07/2025,"Excellent, Good","Minimal, Moderate",Missing,Sound,Good,,
13,09/03/2025,,,Installed,,,Installed 22651246 Volvo Penta 130/150 Saildrive Split Ring Zinc Anode,1
