#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,06/30/2023,Minimal,,"Some evidence of abrasion near the rudder post, port side. Possible obstruction was present, but no longer.",Excellent,Good,Sound
02,Good,09/08/2023,Minimal,,"Waterline is low on starboard side.  Consider raising it or lightening vessel. ",Excellent,Polished,Sound
03,Fair,11/03/2023,Minimal,,Nice job trimming out the boat!,Excellent,Polished,Sound
05,Replaced,03/07/2024,"Minimal, Moderate",,"Waterline is low near the bow. ",Good,Good,Sound
04,Fair,01/04/2024,Minimal,,,"Excellent, Good",Polished,Sound
06,Excellent,05/06/2024,"Heavy, Moderate",,"Waterline is low all around. Paint quality diminishing rapidly. ","Fair, Good",Good,Sound
07,"Good, Replaced",08/09/2024,Minimal,,,Excellent,Polished,Sound
08,"Fair, Good",10/01/2024,Minimal,,,Excellent,Polished,Sound
09,"Good, Replaced",12/11/2024,Minimal,1,,Excellent,Polished,Sound
10,"Fair, Good",03/25/2025,"Minimal, Moderate",,,"Excellent, Good",Good,Sound
11,Fair,05/13/2025,Moderate,,,Good,Good,Sound
12,Fair,07/18/2025,Moderate,,,Good,Good,Sound
13,Fair,09/18/2025,"Heavy, Moderate",,,"Fair, Good",Good,Sound
