#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/05/2023,Poor,Moderate,None,Sound,None,Heavy three-dimensional and hard-shelled animal growth was removed. Paint is at end of its useful life and is missing in large sections. Heavy slime attached to gel coat at waterline.,
02,02/03/2023,Poor,Heavy,None,Sound,None,,
03,03/03/2023,Poor,Moderate,None,Sound,None,,
04,04/08/2023,Poor,Moderate,None,Sound,None,"Widespread small blistering was observed on the hull, keel, and rudder",
05,05/01/2023,Poor,Moderate,None,Sound,None,More barnacles beginning,
06,06/01/2023,Poor,"Heavy, Moderate",None,Sound,None,"Widespread small barnacles. Camera battery died unexpectedly and I was unable to shoot the “after” video this time, my apologies, John.",
07,07/02/2023,Poor,"Heavy, Moderate",None,Sound,None,,
08,08/02/2023,Poor,"Heavy, Moderate",None,Sound,None,,
09,09/06/2023,Poor,"Heavy, Moderate",None,Sound,None,,
10,10/01/2023,Poor,"Heavy, Moderate",None,Sound,None,,
11,11/02/2023,"Missing, Poor",Heavy,None,Sound,None,"Many blisters have opened with marine growth taking root inside. Repair and repainting advised ASAP. ",
12,12/03/2023,"Missing, Poor",Moderate,None,Sound,None,Ditto from last service,
13,01/09/2024,"Missing, Poor",Minimal,None,Sound,None,,
14,02/08/2024,"Missing, Poor",Moderate,None,Sound,None,,
15,03/04/2024,"Missing, Poor",Moderate,None,Sound,None,,
16,04/05/2024,"Missing, Poor",Moderate,None,Sound,None,,
17,05/07/2024,"Missing, Poor",Moderate,None,Sound,None,,
18,06/13/2024,"Missing, Poor",Moderate,None,Sound,None,,
19,07/12/2024,"Missing, Poor",Moderate,None,Sound,None,,
20,08/14/2024,"Missing, Poor",Moderate,None,Sound,None,,
21,09/14/2024,"Missing, Poor",Moderate,None,Sound,None,,
22,10/14/2024,"Missing, Poor",Moderate,None,Sound,None,,
23,11/12/2024,"Missing, Poor",Moderate,None,Sound,None,,
24,12/12/2024,"Missing, Poor",Moderate,None,Sound,None,,
25,01/16/2025,"Missing, Poor",Moderate,None,Sound,None,,
26,05/15/2025,Excellent,Minimal,None,Sound,None,,
27,06/19/2025,Excellent,Minimal,None,Sound,None,,
28,07/18/2025,Excellent,Minimal,None,Sound,None,,
29,08/13/2025,Excellent,Minimal,None,Sound,None,,
30,09/18/2025,Good,"Minimal, Moderate",None,Sound,None,Heavy growth occurring above the waterline aft of the beam.,
31,10/20/2025,,,,,,,
