#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/09/2023,Fair,Moderate,Fair,Sound,Good,,
02,04/14/2023,Excellent,Minimal,Good,Sound,Good,,
03,07/04/2023,Excellent,"Heavy, Minimal",Good,Sound,Good,Propspeed appears to have failed; heavy growth and barnacle found on prop. Cutlass bearing may be walking forward out of strut.,
04,10/03/2023,"Fair, Good",Moderate,Good,Sound,Good,,
05,01/02/2024,Fair,Moderate,"Fair, Replaced",Sound,Good,"Replaced Max Prop 63mm anode. Widespread embedded black algae present, indicative of failing anti-fouling properties. ",
06,03/30/2024,"Fair, Poor",Moderate,Good,Sound,Good,,
07,07/02/2024,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,,
08,01/07/2025,Excellent,Minimal,Excellent,Sound,Polished,,
09,04/09/2025,Excellent,"Minimal, Moderate",Good,Sound,Polished,,
10,07/23/2025,Excellent,Minimal,Fair,Sound,Polished,,
11,10/21/2025,"Excellent, Good","Minimal, Moderate","Good, Replaced",Sound,Polished,,
