#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/06/2023,"Fair, Poor",Heavy,Good,Sound,Good,"Sheared down growth on this service, will conduct a fine cleaning on the next service",
02,03/03/2023,"Fair, Poor",Moderate,Good,Sound,Good,"Polished prop and anode-mating surfaces
Replaced both anodes.
01/06/2023
Time: (~60 minutes)
Paint in fair to poor condition overall, will know better on the next service
Heavy three-dimensional growth
The prop anode is in good condition, and will tighten on the next service
https://www.notion.so/24eb23ebf791460e987fa6f623b523f8?pvs=21",
03,05/02/2023,"Fair, Poor",Moderate,Good,Sound,Good,"Tightened prop anode. ",
04,07/02/2023,Poor,"Heavy, Moderate",Good,Sound,Good,,
05,09/06/2023,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,,
06,11/03/2023,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,"waterline should be raised all around to prevent growth on topsides. CmpzC prop nut and 3” trim tab anode may need to be replaced on next service. ",
07,01/09/2024,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,,
08,03/07/2024,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,,
09,05/14/2024,"Fair, Poor",Heavy,"Fair, Good",Sound,Good,"Heavy barnacle growth
",
10,07/12/2024,Poor,"Heavy, Moderate",,Sound,Good,,
11,09/10/2024,Poor,Heavy,"Fair, Good",Sound,Good,,
12,11/25/2024,Poor,Moderate,Good,Sound,Good,,
13,01/16/2025,Poor,Moderate,Good,Sound,Good,,
14,03/25/2025,Poor,Moderate,Good,Sound,Good,,
15,05/13/2025,"Missing, Poor",Moderate,Good,Sound,Good,,
16,07/18/2025,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
17,09/18/2025,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,,
