#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,01/09/2023,Moderate,,,Fair,Good,Sound
02,Good,04/14/2023,Minimal,,,Excellent,Good,Sound
04,Good,10/03/2023,Moderate,,,"Fair, Good",Good,Sound
03,Good,07/04/2023,"Heavy, Minimal",,Propspeed appears to have failed; heavy growth and barnacle found on prop. Cutlass bearing may be walking forward out of strut.,Excellent,Good,Sound
06,Good,03/30/2024,Moderate,,,"Fair, Poor",Good,Sound
05,"Fair, Replaced",01/02/2024,Moderate,,"Replaced Max Prop 63mm anode. Widespread embedded black algae present, indicative of failing anti-fouling properties. ",Fair,Good,Sound
07,Good,07/02/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
08,Excellent,01/07/2025,Minimal,,,Excellent,Polished,Sound
09,Good,04/09/2025,"Minimal, Moderate",,,Excellent,Polished,Sound
10,Fair,07/23/2025,Minimal,,,Excellent,Polished,Sound
11,"Good, Replaced",10/21/2025,"Minimal, Moderate",,,"Excellent, Good",Polished,Sound
