#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,02/06/2023,"Fair, Good","Heavy, Moderate",Good,Sound,Good,Prop polished,
02,05/05/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,"Anti-fouling properties failing. ",
03,07/06/2023,"Fair, Good","Minimal, Moderate","Good, Replaced",Sound,Good,Replaced prop nut anode CMPZ-D,
06,09/09/2023,"Fair, Poor",Moderate,Fair,Sound,Good,,
04,09/11/2023,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,"Approaching haulout time between 6 months to a year from now. ",
07,10/05/2023,"Fair, Poor",Moderate,Fair,Sound,Good,,
08,11/05/2023,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,"Will need divers dream mini and prop nut CMPZ-D on next service. ",
09,01/09/2024,Fair,Moderate,"Fair, Replaced","Possible Issue, Sound",Good,Installed hull zinc and prop anode D.,
10,03/05/2024,Fair,"Minimal, Moderate",Good,Sound,Good,"Widespread embedded black algae in paint, indicative of anti-fouling properties failure. Cleaning will involve removing surface growth only to preserve paint coverage and protect marine environment. ",
11,05/01/2024,Fair,Moderate,Good,Sound,Good,,
12,07/10/2024,Fair,Moderate,"Fair, Good",Sound,Good,,
13,08/13/2024,Fair,Moderate,Good,Sound,Polished,,
,,,,,,,,
