#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,06/30/2023,Excellent,Minimal,Good,Sound,Good,"Some evidence of abrasion near the rudder post, port side. Possible obstruction was present, but no longer.",
02,09/08/2023,Excellent,Minimal,Good,Sound,Polished,"Waterline is low on starboard side.  Consider raising it or lightening vessel. ",
03,11/03/2023,Excellent,Minimal,Fair,Sound,Polished,Nice job trimming out the boat!,
04,01/04/2024,"Excellent, Good",Minimal,Fair,Sound,Polished,,
05,03/07/2024,Good,"Minimal, Moderate",Replaced,Sound,Good,"Waterline is low near the bow. ",
06,05/06/2024,"Fair, Good","Heavy, Moderate",Excellent,Sound,Good,"Waterline is low all around. Paint quality diminishing rapidly. ",
07,08/09/2024,Excellent,Minimal,"Good, Replaced",Sound,Polished,,
08,10/01/2024,Excellent,Minimal,"Fair, Good",Sound,Polished,,
09,12/11/2024,Excellent,Minimal,"Good, Replaced",Sound,Polished,,1
10,03/25/2025,"Excellent, Good","Minimal, Moderate","Fair, Good",Sound,Good,,
11,05/13/2025,Good,Moderate,Fair,Sound,Good,,
12,07/18/2025,Good,Moderate,Fair,Sound,Good,,
13,09/18/2025,"Fair, Good","Heavy, Moderate",Fair,Sound,Good,,
