#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
01,Fair,10/18/2023,Heavy,"Saildrive anode needs replacing on next service. Paint is ablative. Heavy barnacle growth along waterline in several areas. Paint will receive a deeper cleaning on next service. ","Fair, Missing",Good,Sound
02,Good,12/06/2023,Moderate,Received incorrect anode for saildrive. Will re-order.,"Fair, Missing",Good,Sound
03,Replaced,12/17/2023,Not Evaluated,Installed Gori prop anode,Not Evaluated,Good,Not Evlauated
04,"Excellent, Good",02/01/2024,Minimal,,"Fair, Missing",Good,Sound
05,"Excellent, Good",04/09/2024,"Heavy, Moderate",,"Fair, Missing",Good,Sound
06,Good,07/05/2024,"Moderate, Severe",,"Fair, Missing",Good,Sound
07,Good,09/11/2024,"Heavy, Moderate",,"Fair, Missing",Good,Sound
08,Good,11/11/2024,"Heavy, Moderate",,"Missing, Poor",Good,Sound
09,Good,01/14/2025,Moderate,,"Missing, Poor",Good,Sound
10,Good,03/18/2025,Moderate,,"Missing, Poor",Good,Sound
11,Good,05/14/2025,"Heavy, Moderate",,"Missing, Poor",Good,Sound
12,Good,07/08/2025,"Heavy, Moderate",,"Missing, Poor",Good,Sound
13,Good,09/23/2025,"Heavy, Moderate",,"Missing, Poor",Good,Sound
