#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/07/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,Paint on keel mostly missing. Will polish prop and replace second shaft anode on next visit. One shaft anode missing.,
02,03/04/2023,"Fair, Poor",Moderate,Good,Sound,Good,,
03,05/05/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,"Anode change next visit. Increase in barnacle growth throughout. ",
04,09/07/2023,Excellent,Minimal,Excellent,Sound,Good,,
05,11/05/2023,Excellent,Minimal,Fair,Sound,Good,"1 1/8” shaft anodes (2x) to be replaced next service. Paint looks great! ",
06,01/08/2024,Excellent,Minimal,Replaced,Sound,Polished,Installed 2 x 1-1/8” heavy streamlined shaft anodes,
06,03/05/2024,Excellent,Minimal,Good,Sound,Polished,,
07,05/01/2024,"Excellent, Good","Minimal, Moderate","Good, Replaced",Sound,Polished,"Installed 1 x 1-1/8” heavy streamlined shaft anode. Heavy barnacle growth occurring on bottom of keel. ",
08,09/09/2024,"Excellent, Good","Minimal, Moderate",Good,Sound,Good,,
09,11/11/2024,"Excellent, Fair",Moderate,"Fair, Replaced",Sound,Good,"Increasing embedded growth throughout port side paint. Installed heavy duty shaft anode. ",
10,01/16/2025,"Excellent, Fair","Minimal, Moderate",Good,Sound,Good,,
11,03/21/2025,"Fair, Good","Heavy, Moderate",Replaced,Sound,Good,,2
12,05/15/2025,"Fair, Good","Heavy, Moderate",Replaced,Sound,Good,"Installed 2x heavy duty anodes. The strange anode behavior of eroding from the inside out continues. No recommended solution at this time. ",
13,07/08/2025,"Fair, Good",Moderate,Replaced,Sound,Good,Both anodes completely absent. Installed a shaft collar this time.,
14,09/25/2025,"Fair, Good",Moderate,Fair,Sound,Good,"Shaft collar anode was loose, retightened. ",
