#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
06,Good,04/08/2024,"Heavy, Moderate",,"Anit-fouling properties failing. Growth becoming increasingly tenacious. ",Poor,Good,Sound
01,,07/05/2023,Heavy,,"I will order streamlined shaft 1.75” x 4, trim tab 4”+ x2, divers dream 12” x1. Will return to install these and continue cleaning next week",Fair,Good,Sound
05,Good,02/03/2024,"Minimal, Moderate",,,"Fair, Poor",Good,Sound
04,Good,12/08/2023,"Heavy, Severe",,"Calcium buildup on hull around thru hull drains. Heavy growth on running gear. ","Fair, Poor",Good,Sound
03,Excellent,10/08/2023,Heavy,,VillaSey was mostly serviced on 10-8 (1400-1500) and completed on 10-9 (1050-1110). Total time is accounted for here.,Fair,Good,Sound
02,Replaced,08/05/2023,"Heavy, Moderate",,"Starboard: added two shaft anodes (old remnants were irremovable) plus one trim-tab anode. Port: Replaced two shaft anodes, plus one trim tab anode. Replaced large plate anode on transom.",Fair,Good,Sound
07,"Fair, Good",06/10/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
08,Excellent,10/12/2024,"Heavy, Minimal",,,Excellent,Good,Sound
09,Good,12/10/2024,"Minimal, Moderate",,,Excellent,"Good, Polished",Sound
10,Fair,02/07/2025,"Minimal, Moderate",,,Excellent,Good,Sound
11,Fair,04/14/2025,"Minimal, Moderate",,Trim tab and prop shaft anodes to be replaced on next service,Good,Good,Sound
12,Replaced,06/09/2025,"Minimal, Moderate",,"Installed shaft and trim tab anodes port and starboard.  ",Good,Good,Sound
13,Good,08/08/2025,"Minimal, Moderate",,,Good,Good,Sound
14,"Good, Missing",10/16/2025,Moderate,,"Will return to install 612 HD Transom plate and (1) R4 trim tab anodes. ",Good,Good,Sound
