Title,Status,Quarter,Priority,Service,Start Date,Due Date,Dependencies,Completion %,Notes
Rename Dashboard → Insight,Not Started,Q4 2025,High,Dashboard,2025-11-01,2025-11-15,None,0,"Repository rename to avoid confusion with operational dashboards"
Rename Billing → Completion,Not Started,Q4 2025,Medium,Billing,2025-11-15,2025-11-30,None,0,"Better reflects service documentation + payment processing role"
Create architecture diagrams,Not Started,Q4 2025,Medium,All Services,2025-11-01,2025-12-31,None,0,"Visual documentation of system architecture"
Create INTEGRATIONS.md,Not Started,Q4 2025,Medium,All Services,2025-11-01,2025-12-31,None,0,"Document all external API integrations"
Complete Video Mobile App Phase 8,Not Started,Q1 2026,Critical,Video,2026-01-01,2026-01-14,"None",87,"Testing & deployment - 87% complete overall"
Billing PWA Session Persistence,Not Started,Q1 2026,Critical,Billing,2026-01-14,2026-01-21,"Video Mobile",0,"Quick fix for session loss during dives"
Billing Native Mobile App,Not Started,Q1 2026,Critical,Billing,2026-01-21,2026-02-18,"Billing PWA; Video Mobile",0,"Long-term native solution for field work"
User Accounts & Audit Logging,Not Started,Q1 2026,Critical,All Services,2026-01-01,2026-01-28,"None",0,"Multi-user authentication and comprehensive audit trails"
Strategic Business Intelligence Dashboard,Not Started,Q1 2026,High,Dashboard,2026-01-28,2026-03-21,"User Accounts",0,"Transform Dashboard to Insight service with 4 perspectives"
Scheduling Enhancements - Time Slots & Drag-Drop,Not Started,Q1 2026,High,Operations,2026-02-01,2026-02-21,"None",0,"Time-slot scheduling with drag-drop rescheduling"
Internal Admin Design System Modernization,Not Started,Q1 2026,High,Shared,2026-02-01,2026-02-21,"None",0,"Unified modern design across all internal tools"
Admin Settings & Configuration Panels,Not Started,Q1 2026,Medium,All Services,2026-02-15,2026-02-21,"Portal",0,"Centralized business configuration management"
Development Branch Strategy Implementation,Not Started,Q1 2026,High,All Services,2026-01-15,2026-02-12,"None",0,"Implement develop → main workflow for safer deployments"
Comprehensive Responsive Testing,Not Started,Q1 2026,High,All Services,2026-02-15,2026-03-01,"Development Branch",0,"Automated responsive testing across all services"
Operations Native Mobile App,Not Started,Q2 2026,High,Operations,2026-04-01,2026-05-05,"Video Mobile; Billing Mobile",0,"Offline service log entry with GPS and signatures"
Inventory Native Mobile App,Not Started,Q2 2026,Medium,Inventory,2026-05-01,2026-05-28,"Operations Mobile",0,"Barcode scanning and warehouse stock checks"
Complete Booking Service Phases,Not Started,Q2 2026,Medium,Booking,2026-04-01,2026-06-30,"None",50,"Finish remaining 50% of booking service"
Enhanced YouTube Playlist Automation,Not Started,Q2 2026,Low,Video,2026-05-01,2026-05-21,"None",0,"Improve playlist management workflows"
Ownership & Attribution Tracking System,Not Started,Q2 2026,Critical,All Services,2026-04-01,2026-04-28,"User Accounts",0,"Track client relationships assets inventory for multi-owner operations"
Settings Dashboard - Full Implementation,Not Started,Q2 2026,High,Dashboard,2026-05-01,2026-06-12,"Ownership Tracking",0,"Comprehensive centralized settings management"
Resend Email Template Dashboard,Not Started,Q2 2026,Medium,Dashboard,2026-06-01,2026-06-19,"Settings Dashboard",0,"Visual email template editor"
Centralized Logging & Monitoring,Not Started,Backlog,Medium,All Services,,,None,0,"Cross-service observability infrastructure"
Performance Optimization - Supabase,Not Started,Backlog,Medium,All Services,,,None,0,"Query optimization and indexing improvements"
Automated Backup & Disaster Recovery,Not Started,Backlog,High,All Services,,,None,0,"Business continuity procedures"
Automated Reordering System,Not Started,Backlog,Low,Inventory,,,None,0,"Usage-based inventory replenishment"
Enhanced AI Product Recommendations,Not Started,Backlog,Low,Inventory,,,None,0,"Gemini-powered product suggestions"
Multi-Location Inventory Support,Not Started,Backlog,Low,Inventory,,,None,0,"Track inventory across multiple warehouses"
Manual Review Service Log-Invoice Links,Not Started,Backlog,Low,Operations,,,None,0,"Link remaining 337 unlinked service logs to invoices"
Portal Separation Complete,Completed,Q4 2025,Critical,Portal,2025-10-01,2025-10-25,None,100,"Customer portal separated into independent service"
Comprehensive Testing Platform,Completed,Q4 2025,Critical,All Services,2025-10-15,2025-10-29,None,100,"Four-layer automated testing infrastructure"
Pending Orders Queue & Confirmation Workflow,Completed,Q4 2025,High,Operations,2025-10-20,2025-10-30,None,100,"Dedicated inbox for incoming orders from Estimator"
Needs Scheduling Queue & Quick Add,Completed,Q4 2025,High,Operations,2025-10-25,2025-10-30,None,100,"Ad-hoc service request capture with batch scheduling"
Import Notion Service Logs to Supabase,Completed,Q4 2025,Medium,Operations,2025-10-10,2025-10-20,None,100,"1465 service logs migrated from Notion to Supabase"
Revenue Efficiency Metrics Widget,Completed,Q4 2025,Medium,Dashboard,2025-10-25,2025-10-31,None,100,"Dollars per hour dollars per boat boats per hour metrics"
Project Manager Documentation Repository,Completed,Q4 2025,Medium,All Services,2025-10-01,2025-10-19,None,100,"Established sailorskills-docs and governance guidelines"
Consolidated Service Logs Tables,Completed,Q4 2025,Medium,Operations,2025-10-01,2025-10-17,None,100,"Unified service_logs table with enhanced propeller tracking"
