#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,10/18/2023,"Fair, Missing",Heavy,Fair,Sound,Good,"Saildrive anode needs replacing on next service. Paint is ablative. Heavy barnacle growth along waterline in several areas. Paint will receive a deeper cleaning on next service. "
02,12/06/2023,"Fair, Missing",Moderate,Good,Sound,Good,Received incorrect anode for saildrive. Will re-order.
03,12/17/2023,Not Evaluated,Not Evaluated,Replaced,Not Evlauated,Good,Installed Gori prop anode
04,02/01/2024,"Fair, Missing",Minimal,"Excellent, Good",Sound,Good,
05,04/09/2024,"Fair, Missing","Heavy, Moderate","Excellent, Good",Sound,Good,
06,07/05/2024,"Fair, Missing","Moderate, Severe",Good,Sound,Good,
07,09/11/2024,"Fair, Missing","Heavy, Moderate",Good,Sound,Good,
08,11/11/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,
09,01/14/2025,"Missing, Poor",Moderate,Good,Sound,Good,
10,03/18/2025,"Missing, Poor",Moderate,Good,Sound,Good,
11,05/14/2025,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,
12,07/08/2025,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,
13,09/23/2025,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,
